method,testcase,nconf,nunique,time
ringoMCR,csd_XAGXOT,5055,5055,200.10474396310747
ringoMCR,csd_JOKSAD,10000,10000,84.91452041640878
ringoMCR,csd_CAHWEN,2091,2091,200.39665775187314
ringoMCR,csd_MECBOL,10000,10000,169.84368965029716
ringoMCR,csd_DALPUC,3031,3031,200.19912978447974
ringoMCR,csd_NITFEB,10000,10000,184.77485525235534
ringoMCR,csd_YAGKOG,79,79,201.42300533689559
ringoMCR,pdb_2C6H,8905,8905,200.09702526777983
ringoMCR,pdb_2GPL,2940,2940,200.22390726581216
ringoMCR,pdb_1PKF,8904,8904,200.08456273190677
ringoMCR,pdb_1PPJ,8913,8913,200.07404326088727
ringoMCR,pdb_1YXQ,5,5,201.80315197259188
ringoMCR,csd_RASTIO,10000,10000,195.06373434513807
ringoMCR,pdb_3K5C,6201,6201,200.19952193461359
ringoMCR,csd_MALVAL10,743,743,201.16440397128463
ringoMCR,pdb_2WHW,7292,7292,200.08472566492856
ringoMCR,csd_ABOMOT,437,437,208.34956471435726
ringoMCR,csd_DACMAW,3925,3925,200.2780227959156
ringoMCR,pdb_1YET,8306,8306,200.1163864750415
ringoMCR,csd_MIWTER,3047,3047,200.19506742432714
ringoMCR,pdb_7UPJ,4861,4861,200.13442791253328
ringoMCR,csd_YUPBAN01,74,74,200.84044560976326
ringoMCR,pdb_1NWX,3474,3474,200.74420145899057
ringoMCR,csd_FEGJAD,3054,3054,200.3490051496774
ringoMCR,csd_KIVDIC,4388,4388,200.21513499878347
ringoMCR,csd_XAGYAG,4785,4785,200.15458796545863
ringoMCR,csd_OHUXEU,4239,4239,200.3889803700149
ringoMCR,csd_CTILIH10,34,34,201.2637643776834
ringoMCR,csd_FIVSAE,9614,9614,200.09647278301418
ringoMCR,pdb_2Q0R,10000,10000,180.75934961624444
