method,testcase,nconf,nunique,time
ringointel,csd_ABOJOR,7386,7386,600.5558844401967
ringointel,pdb_2PH8,6643,6643,600.2114087308291
ringointel,csd_QUDROW,10000,10000,385.69198780087754
ringointel,csd_RULSUN,4519,4519,600.3819952209014
ringointel,csd_DAFGIA,7912,7911,600.3030661991797
ringointel,csd_CUQRUB,12,12,601.962412355002
ringointel,pdb_1XS7,4610,4610,600.494216474006
ringointel,csd_LALWIF,10649,10000,239.00560085987672
ringointel,csd_XAGXOT,8391,8391,600.1802860200405
ringointel,csd_JOKSAD,10000,10000,99.28591605112888
ringointel,csd_CAHWEN,3590,3590,600.5769462001044
ringointel,csd_MECBOL,10000,10000,196.68579850182869
ringointel,csd_DALPUC,5132,5132,600.4234548020177
ringointel,csd_NITFEB,10000,10000,209.29334772285074
ringointel,csd_YAGKOG,139,139,602.0790527109057
ringointel,pdb_2C6H,10000,10000,283.4227930260822
ringointel,pdb_2GPL,4950,4950,601.6138949738815
ringointel,pdb_1PKF,10000,10000,278.5566460469272
ringointel,pdb_1PPJ,10000,10000,271.3223385880701
ringointel,pdb_1YXQ,11,11,602.5383484100457
ringointel,csd_RASTIO,10000,10000,222.65755272796378
ringointel,pdb_3K5C,10000,10000,551.1798687661067
ringointel,csd_MALVAL10,1353,1353,601.7582730920985
ringointel,pdb_2WHW,10000,10000,422.0431459911633
ringointel,csd_ABOMOT,769,769,612.3291422720067
ringointel,csd_DACMAW,6742,6742,600.3452189390082
ringointel,pdb_1YET,10000,10000,312.45816036197357
ringointel,csd_MIWTER,5553,5553,600.2885318140034
ringointel,pdb_7UPJ,8148,8148,600.1991964820772
ringointel,csd_YUPBAN01,160,160,601.1750146909617
ringointel,pdb_1NWX,6649,6649,600.297909101937
ringointel,csd_FEGJAD,5136,5136,600.5182989679743
ringointel,csd_KIVDIC,7488,7488,600.279840049101
ringointel,csd_XAGYAG,8020,8020,600.1950163028669
ringointel,csd_OHUXEU,7836,7836,600.4936806547921
ringointel,csd_CTILIH10,92,92,601.784185128985
ringointel,csd_FIVSAE,10000,10000,241.81238309992477
ringointel,pdb_2Q0R,10000,10000,194.20995958382264
